id,name,address,latitude,longitude,free_bikes,empty_slots,total_capacity
3a38ba74f5b1e4e7338bbcd1972ffd75,210- Maantjessteenweg,Maantjessteenweg,51.25523,4.43576,21,15,36
3a70adcc9ba2b83b665c8fcdc41a3e8d,336 -Sneeuwbeslaan,Sneeuwbeslaan/Laarstraat,51.17571,4.39622,7,28,35
3abb1721b2af6ee54eef3a71fff6df0c,180 - P&R LO 1,Blancefloer - P&R Linkeroever,51.21933,4.34921,14,21,35
3b8aab62c9537ca3b3db6c1503853356,087- Lange Elzen,Lange Elzenstraat n° 56,51.20066,4.39424,2,13,15
3bce7bf4e60511c07cd65b1330272d74,009- NMBS Oost,Vandenpeereboomstraat - Plantin Moretuslei,51.20906,4.43602,9,20,29
3c915b1b99b1951ddf7d8e0d5dc2a842,303-Kambala,Kambalastraat,51.23793,4.40959,15,21,36
3c98f8053c94d3942e7764e23ec1e9a1,022- Statie,Statiestraat 162,51.19992,4.43099,32,1,33
3d6bd13252c152c6497a3d91fd155207,293- Edgard Castelein,Edgard Casteleinstraat,51.18852,4.39095,21,15,36
3e400836d7b4a1264310c817d5154d80,069- Fonteinstraat,Fonteinstraat tov 72,51.21116,4.44196,8,28,36
3f125ce09bda9f78e8320a3a543d083d,238- Ertbrugge,Ertbruggelaan,51.22373,4.47563,20,4,24
3f490431fc832258e55eb48f6a20a79a,322 - Malisgoed,Malisgoed,51.16695,4.38213,6,18,24
3fefc4bec572452d1876fd4e8d8d31f6,106- Draakplaats,Draakplaats,51.20561,4.43221,5,28,33
40e07983f1c64959e7c62d2c02fccaae,225- Verbindingsdok Eilandje,Verbindingsdok/Oostkaai,51.23048,4.40769,11,24,35
416a150e925755db157ee811062f1f1d,063- Slachthuis,Lange Lobroekstraat tov huisnr 49/51 kruising Twee stierenstraat,51.2293,4.43307,10,26,36
41dbc111c1d8790d8ff002871b3b64a7,156- Gasstraat,Van Kerckhovenstraat 74-76,51.22603,4.42551,4,26,30
42472a4068a5bcd937160934f4b9b058,204- Luchtbal winkelcentrum,Noorderlaan,51.24996,4.4209,17,19,36
428a83e5c596a6e07ded9b37ea7f6fab,297- Tentoonstellingswijk,Tentoonstellingslaan,51.19062,4.38893,18,18,36
45079d89920a2b0f22ef112caedde9b5,289- Broydenborgpark,Walstraat,51.17355,4.35228,12,21,33
45b15e096422d34b6b2c13f3e8e35e1e,042- Harmonie,Mechelsesteenweg - Ingang Harmoniepark,51.20228,4.41207,27,7,34
465e099ec59162e3849e2024c3b960d4,255- Van den Haute,Van den Hautelei,51.20414,4.46764,8,28,36
468204b91eb6fec30cb6e6ba518febf6,296- Mastvest,Eric Sassenlaan,51.19408,4.39304,6,23,29
46d3e7f3e0e1876998a2f97d06395a6e,273- Campus Groenenborger,Oosterveldlaan,51.17582,4.41283,9,27,36
47111c581fb8af317e7760b2200c64df,029- Lozana,Lange Lozanastraat n° 149,51.20178,4.40606,6,29,35
471fa2008789a2d734fbb4eeb9deb6fe,136- Spoor Noord Skatebowl,Hardenvoort,51.23176,4.42101,0,36,36
47e80cf1c75fbda6849ac49e3349b878,007- NMBS Berchem ,Binnensingel ingang station Berchem,51.20108,4.43395,23,13,36
48380ff4011d176ed72af6d5fa3ad0f4,062- Station Dam,Damplein/Lange lobroekstraat ro n° 222,51.23183,4.42698,0,23,23
48b1eab61dc5aa5d1a0ff51a952b12ca,050- Klapdorp,Sint-Paulusstraat/ Lange Koepoortstraat,51.22373,4.40302,4,17,21
4a35eab0da109d7dd0c338303c5d3517,044- Belgielei,Belgiëlei 99,51.20572,4.41819,2,34,36
4aae273c7c3b0b54e6487ad801ae3b5e,312 - Graspolder,Graspolderlaan,51.18474,4.34251,22,14,36
4c127904f68ae1380a9152fe7f64aad7,030- Het Laar,Laar,51.21634,4.43334,0,24,24
4ce87cb0d765acc411d976d945afbf84,263- Fruithoflaan 2,Fruithoflaan - Jos Ratinckxstraat,51.18453,4.44104,15,21,36
4d00b67757a4a3f2adc0941dd05f051c,018- Meirbrug,Meir n° 18,51.21819,4.40617,32,1,33
4d091f91939a3e3f14bfb387a8ed99da,072- Tropisch Instituut,Kronenburgstraat ro n° 82,51.21189,4.39894,8,27,35
4d7c311433f7fb2fc8ffc0d31084a583,145- De Coster,August Vermeylenlaan/ Charles de Costerlaan,51.22784,4.37855,2,21,23
4da13a1ac347be9613a61f971715c311,231- den Antwerp,Ter Heydenlaan,51.22922,4.46783,4,32,36
4e37f39ebcf6d2667f805d884ebc0139,183 - Veer LO,Thonetlaan - Veerpont,51.22495,4.39009,25,11,36
4f248efd69b531e3f3658b75f41b4073,065- Plantinkaai,Sint Michielskaai ro nr.5,51.21619,4.39343,6,27,33
511d48adf36a77afc0bb56c50f5867d4,325 - Paul Vekemans,Paul Vekemanslaan,51.17488,4.35993,13,17,30
512c269ef950cf15f17e030de4c0b08f,239- Zwarte Arend,Alfons schneiderlaan,51.22126,4.47948,11,18,29
525ca38772df71e463f4a94f0cae6de0,137- Sint-Laureiskaai,napeleonkaai/Nassaustraat ,51.22978,4.40575,8,27,35
526f1ecb92adce2ccad72d532294adbd,139- Londenstraat,Londenstraat,51.23105,4.41267,2,19,21
5276d56532d12bc99b67749364415d4b,232- Wim Saerens,Wim Saerensplein,51.22849,4.47867,18,18,36
52f557af4589cdff97d934948cdc75b9,209- Melgeshof,Korte Bremstraat,51.25644,4.44715,16,20,36
54dd111e10f1cbf66917da1069146c2d,247- ZNA Sint Erasmus,Luitenant Lippenslaan,51.20832,4.44595,25,10,35
54e8129eb73fbee75a2b440ef5fbd28e,241- Kerkendijk,Collegelaan ,51.21333,4.45333,3,33,36
55f406d3e5482d93936e9c9847bc66e4,207- P&R Merksem,Bredabaan,51.25812,4.46196,4,32,36
58f495a8d55f23369af7b8f213964c49,166 - Schoenmarkt,Schoenmarkt,51.21831,4.40331,12,21,33
5904c8f722781fcd65a41587562264b1,230- Bosuil,Bosuil,51.22909,4.46191,12,24,36
5982204a7ce11d9dcf4be892b2d963a9,314 - Schoonselhof,Sint-Bernardsesteenweg,51.1691,4.36328,8,26,34
5c038aabd16839dc3a8bb25cf636f7fa,313 - Eksterlaar,Constant Jorislaan,51.20051,4.47024,21,14,35
5c805ff364bfa86799de97c352c48d06,309 - De Torekens,Paul Henri Spaaklaan,51.17089,4.3496,12,24,36
